Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-03-04,16245.35,26.28,456143040,0.61014,1.7307,2443.16016,8837.55,1970.7
2022-03-03,16498.05,26.09,442068256,0.58314,1.8405,2314.74268,8176.78,1935.95
2022-03-02,16605.95,26.15,517723552,0.52214,1.8767,2323.14478,8358.48,1928.72
2022-02-28,16793.9,26.13,404214656,0.50429,1.825,2277.66675,7231.12,1908.99
2022-02-25,16658.4,25.98,329780736,0.523,1.9617,2072.29858,6879.37,1889.34
2022-02-24,16247.95,24.5,457967872,0.50786,1.9633,2294.86621,7024.62,1903.89
2022-02-23,17063.25,20.2,200229632,0.49757,1.9912,2316.66675,6878.3,1909.01
2022-02-22,17092.2,20.46,300132000,0.48786,1.939,2152.06372,6898.41,1898.64
2022-02-21,17206.65,20.46,215183296,0.46386,#N/A,#N/A,#N/A,1906.29
2022-02-18,17276.3,20.76,189620896,0.47957,1.9286,2072.21729,6800.61,1898.43
2022-02-17,17304.6,20.81,232136128,0.481,1.9615,2109.27612,6885.35,1898.43
2022-02-16,17322.2,20.99,244549216,0.48814,2.0382,1822.3573,7026.84,1869.8
2022-02-15,17352.45,21.12,298658144,0.46871,2.0434,1932.81995,6924.31,1853.61
2022-02-14,16842.8,19.2,305510752,0.45857,1.9875,2141.84717,7217.11,1871.18
2022-02-11,17374.75,17.55,253141664,0.50643,1.9371,2061.6499,7015.34,1858.76
2022-02-10,17605.85,17.24,273606432,0.39486,2.0294,1797.30994,6756.26,1826.85
2022-02-09,17463.8,17.09,236350512,0.37743,1.9415,1493.026,6706.65,1833.36
2022-02-08,17266.75,16.76,268526208,0.36629,1.9632,1602.06116,6677.25,1825.92
2022-02-07,17213.6,16.93,265037936,0.36243,1.9159,1706.65674,6817.67,1820.47
2022-02-04,17516.3,16.06,261434176,0.339,1.9085,1732.86914,6888.94,1808.28
2022-02-03,17560.2,16.1,226614992,0.315,1.8306,1819.38086,6744.78,1804.85
2022-02-02,17780,15.64,271205920,0.31057,1.7751,1651.92114,6600.21,1806.8
2022-02-01,17576.85,15.61,386391488,0.30271,1.7875,1641.86133,6594.36,1801.19
2022-01-31,17339.85,15.36,321660352,0.30886,1.7767,1852.28076,6575.86,1797.17
2022-01-28,17101.95,16.4,355284288,0.31657,1.7694,2075.03931,6513.19,1791.53
2022-01-27,17110.15,17.06,395596576,0.299,1.7994,2294.09814,6516.62,1797.43
2022-01-25,17277.95,16.81,326515904,0.26757,1.7689,2329.61499,6399.71,1848.02
2022-01-24,17149.1,16.74,323847392,0.26714,1.7706,2232.8811,6221.45,1843.06
2022-01-21,17617.15,14.6,277645376,0.25771,1.7581,2143.7251,6326.4,1835.38
2022-01-20,17757,14.62,258094240,0.25886,1.804,1901.93835,6458.71,1839.29
2022-01-19,17938.4,14.25,276662656,0.25514,1.8646,1774.17529,6468.86,1840.54
2022-01-18,18113.05,13.88,227507312,0.254,1.8735,1699.5802,6371,1813.74
2022-01-17,18308.1,14.13,266702912,0.248,#N/A,#N/A,#N/A,1819.23
2022-01-14,18255.75,14.68,229451616,0.24129,1.7841,1422.05774,6211.41,1817.94
2022-01-13,18257.8,15.77,303700544,0.23914,1.7041,1500.74646,6068.01,1822.54
2022-01-12,18212.35,16.31,244974288,0.23843,1.7428,1299.76575,6096.06,1826.15
2022-01-11,18055.75,16.57,220238800,0.24443,1.7357,1359.57849,5998.1,1821.6
2022-01-10,18003.3,16.79,232418080,0.23829,1.7603,1436.24988,5791.64,1801.68
2022-01-07,17812.7,16.67,239338016,0.23614,1.762,1392.92065,5858.29,1796.55
2022-01-06,17745.9,16.65,236454816,0.23129,1.7211,1458.84668,5911.27,1791.16
2022-01-05,17925.25,18.78,251460032,0.22557,1.7052,1465.59375,5782.89,1810.44
2022-01-04,17805.25,18.78,247437472,0.216,1.6473,1260.4967,5738.95,1814.6
2022-01-03,17625.7,18.63,200456432,#N/A,1.628,1235.9198,5664.38,1801.45
2021-12-31,17354.05,18.09,167025728,0.20913,1.5101,1282.81763,5602.83,1829.2
2021-12-30,17203.95,18.8,320831680,0.21438,1.5083,1290.6084,5733.64,1814.67
2021-12-29,17213.6,18.89,161679424,0.22375,1.5496,1263.85132,5708.58,1804.71
2021-12-28,17233.25,18.93,176026096,#N/A,1.4807,1309.91345,5674.3,1806.18
2021-12-27,17086.25,18.72,144777456,#N/A,1.4756,1325.01172,5663.53,1812.13
2021-12-24,17003.75,18.61,182564832,0.21788,#N/A,#N/A,#N/A,1810.26
2021-12-23,17072.6,19.13,196965296,0.21975,1.4927,1347.40771,5535.92,1808.81
2021-12-22,16955.45,19.03,207946112,0.21138,1.4515,1406.08057,5491.49,1803.67
2021-12-21,16770.85,18.6,241030832,0.216,1.4617,1590.5116,5383.97,1789.27
2021-12-20,16614.2,18.24,330614080,0.21425,1.4225,1732.36816,5168.32,1790.93
2021-12-17,16985.2,17.53,354591360,0.21263,1.4021,1639.27905,5385.23,1798.11
2021-12-16,17248.4,17.13,219496064,0.21363,1.4106,1568.34937,5518.58,1799.35
2021-12-15,17221.4,17.12,214972112,0.21563,1.4565,1474.60474,5417.59,1776.92
2021-12-14,17324.9,17.06,270965600,0.21088,1.4411,1664.80017,5379.23,1770.85
2021-12-13,17368.25,17.68,256560528,0.20275,1.4156,1540.5033,5407.31,1786.67
2021-12-10,17511.3,17.79,204467488,0.19825,1.4837,1414.31152,5423.42,1782.84
2021-12-09,17516.85,18.67,237170272,0.20088,1.499,1631.42639,5362.99,1775.33
2021-12-08,17469.75,18.63,257791952,0.2005,1.5212,1500.71277,5456.86,1782.99
